Rectangle Coordinates: [Top-Left: (2380, 181), Bottom-Right: (2520, 210)]
Rectangle Coordinates: [Top-Left: (142, 175), Bottom-Right: (2122, 210)]
Rectangle Coordinates: [Top-Left: (163, 168), Bottom-Right: (240, 200)]
Rectangle Coordinates: [Top-Left: (106, 167), Bottom-Right: (160, 205)]
Rectangle Coordinates: [Top-Left: (2359, 159), Bottom-Right: (2382, 184)]
Rectangle Coordinates: [Top-Left: (62, 98), Bottom-Right: (2559, 1494)]
Rectangle Coordinates: [Top-Left: (0, 95), Bottom-Right: (50, 1490)]
Rectangle Coordinates: [Top-Left: (7, 94), Bottom-Right: (50, 288)]
Rectangle Coordinates: [Top-Left: (2237, 43), Bottom-Right: (2419, 83)]
Rectangle Coordinates: [Top-Left: (335, 10), Bottom-Right: (369, 31)]
Rectangle Coordinates: [Top-Left: (150, 7), Bottom-Right: (217, 31)]
Rectangle Coordinates: [Top-Left: (439, 1321), Bottom-Right: (784, 1450)]
Rectangle Coordinates: [Top-Left: (1829, 1295), Bottom-Right: (2173, 1450)]
Rectangle Coordinates: [Top-Left: (786, 1288), Bottom-Right: (1132, 1450)]
Rectangle Coordinates: [Top-Left: (2183, 1286), Bottom-Right: (2521, 1450)]
Rectangle Coordinates: [Top-Left: (91, 1286), Bottom-Right: (437, 1450)]
Rectangle Coordinates: [Top-Left: (2176, 1224), Bottom-Right: (2521, 1253)]
Rectangle Coordinates: [Top-Left: (1829, 1224), Bottom-Right: (2173, 1252)]
Rectangle Coordinates: [Top-Left: (1481, 1224), Bottom-Right: (1827, 1450)]
Rectangle Coordinates: [Top-Left: (1134, 1224), Bottom-Right: (1479, 1450)]
Rectangle Coordinates: [Top-Left: (786, 1224), Bottom-Right: (1132, 1254)]
Rectangle Coordinates: [Top-Left: (440, 1224), Bottom-Right: (784, 1251)]
Rectangle Coordinates: [Top-Left: (91, 1224), Bottom-Right: (437, 1253)]
Rectangle Coordinates: [Top-Left: (1829, 1061), Bottom-Right: (2173, 1222)]
Rectangle Coordinates: [Top-Left: (2175, 1059), Bottom-Right: (2521, 1222)]
Rectangle Coordinates: [Top-Left: (439, 1059), Bottom-Right: (784, 1222)]
Rectangle Coordinates: [Top-Left: (1481, 1058), Bottom-Right: (1827, 1222)]
Rectangle Coordinates: [Top-Left: (786, 1058), Bottom-Right: (1132, 1222)]
Rectangle Coordinates: [Top-Left: (91, 1058), Bottom-Right: (437, 1218)]
